2021,2020,Kommun,2021 antal,2020 antal,Förändring
30,(30),Sollentuna,75 108,(73 990),"1,51"
27,(27),Solna,84 187,(83 162),"1,23"
288,(289),Sorsele,2 460,(2 442),"0,74"
235,(236),Sotenäs,9 125,(9 100),"0,27"
102,(104),Staffanstorp,26 242,(25 883),"1,39"
97,(98),Stenungsund,27 556,(27 044),"1,89"
1,(1),Stockholm,978 770,(975 551),"0,33"
281,(280),Storfors,3 948,(3 990),"-1,05"
264,(264),Storuman,5 808,(5 826),"-0,31"
70,(71),Strängnäs,38 129,(37 290),"2,25"
173,(175),Strömstad,13 277,(13 244),"0,25"
199,(197),Strömsund,11 473,(11 488),"-0,13"
46,(46),Sundbyberg,53 564,(52 801),"1,45"
20,(20),Sundsvall,99 383,(99 439),"-0,06"
171,(171),Sunne,13 355,(13 335),"0,15"
217,(216),Surahammar,10 099,(10 092),"0,07"
165,(166),Svalöv,14 412,(14 276),"0,95"
112,(114),Svedala,23 222,(22 665),"2,46"
207,(207),Svenljunga,10 864,(10 751),"1,05"
157,(156),Säffle,15 396,(15 420),"-0,16"
203,(203),Säter,11 242,(11 161),"0,73"
193,(192),Sävsjö,11 709,(11 721),"-0,10"
105,(105),Söderhamn,25 446,(25 492),"-0,18"
162,(161),Söderköping,14 673,(14 616),"0,39"
19,(19),Södertälje,101 209,(100 111),"1,10"
137,(138),Sölvesborg,17 540,(17 456),"0,48"
178,(179),Tanum,12 965,(12 912),"0,41"
202,(201),Tibro,11 281,(11 297),"-0,14"
180,(180),Tidaholm,12 825,(12 790),"0,27"
120,(120),Tierp,21 485,(21 327),"0,74"
134,(133),Timrå,17 923,(17 963),"-0,22"
183,(184),Tingsryd,12 319,(12 369),"-0,40"
145,(144),Tjörn,16 312,(16 147),"1,02"
170,(170),Tomelilla,13 712,(13 663),"0,36"
200,(194),Torsby,11 472,(11 549),"-0,67"
249,(248),Torsås,7 113,(7 149),"-0,50"
191,(191),Tranemo,11 937,(11 885),"0,44"
128,(128),Tranås,18 874,(18 903),"-0,15"
59,(58),Trelleborg,46 231,(45 877),"0,77"
41,(41),Trollhättan,59 154,(59 249),"-0,16"
163,(164),Trosa,14 658,(14 309),"2,44"
50,(50),Tyresö,49 062,(48 678),"0,79"
31,(32),Täby,73 955,(72 755),"1,65"
234,(232),Töreboda,9 207,(9 281),"-0,80"
43,(44),Uddevalla,57 122,(56 787),"0,59"
107,(108),Ulricehamn,24 898,(24 704),"0,79"
11,(11),Umeå,130 997,(130 224),"0,59"
54,(52),Upplands Väsby,47 820,(47 184),"1,35"
86,(87),Upplands-Bro,31 082,(30 195),"2,94"
4,(4),Uppsala,237 596,(233 839),"1,61"
228,(227),Uppvidinge,9 449,(9 498),"-0,52"
246,(246),Vadstena,7 528,(7 423),"1,41"
161,(162),Vaggeryd,14 746,(14 532),"1,47"
244,(244),Valdemarsvik,7 660,(7 737),"-1,00"
78,(78),Vallentuna,34 246,(34 119),"0,37"
257,(256),Vansbro,6 776,(6 801),"-0,37"
148,(145),Vara,16 162,(16 096),"0,41"
36,(36),Varberg,66 658,(65 397),"1,93"
190,(190),Vaxholm,11 996,(11 886),"0,93"
72,(72),Vellinge,37 452,(36 915),"1,45"
95,(95),Vetlanda,27 621,(27 502),"0,43"
259,(259),Vilhelmina,6 485,(6 539),"-0,83"
155,(152),Vimmerby,15 578,(15 672),"-0,60"
270,(270),Vindeln,5 550,(5 485),"1,19"
237,(235),Vingåker,9 063,(9 144),"-0,89"
187,(189),Vårgårda,12 180,(11 946),"1,96"
66,(66),Vänersborg,39 636,(39 624),"0,03"
238,(238),Vännäs,9 054,(8 997),"0,63"
58,(59),Värmdö,46 232,(45 566),"1,46"
76,(76),Värnamo,34 661,(34 530),"0,38"
73,(73),Västervik,36 747,(36 655),"0,25"
7,(7),Västerås,156 838,(155 551),"0,83"
21,(21),Växjö,95 995,(94 859),"1,20"
282,(282),Ydre,3 695,(3 726),"-0,83"
85,(85),Ystad,31 560,(30 970),"1,91"
184,(183),Åmål,12 318,(12 441),"-0,99"
232,(234),Ånge,9 233,(9 226),"0,08"
185,(187),Åre,12 271,(12 049),"1,84"
219,(218),Årjäng,9 942,(9 996),"-0,54"
286,(286),Åsele,2 807,(2 805),"0,07"
146,(146),Åstorp,16 308,(16 063),"1,53"
201,(199),Åtvidaberg,11 462,(11 427),"0,31"
133,(134),Älmhult,17 963,(17 884),"0,44"
251,(251),Älvdalen,7 042,(7 033),"0,13"
221,(226),Älvkarleby,9 627,(9 511),"1,22"
243,(243),Älvsbyn,8 009,(8 054),"-0,56"
61,(62),Ängelholm,43 633,(42 910),"1,68"
179,(178),Öckerö,12 902,(12 934),"-0,25"
272,(272),Ödeshög,5 309,(5 338),"-0,54"
6,(6),Örebro,156 987,(156 381),"0,39"
212,(212),Örkelljunga,10 499,(10 451),"0,46"
45,(45),Örnsköldsvik,55 823,(55 807),"0,03"
38,(37),Östersund,64 324,(63 985),"0,53"
52,(54),Österåker,48 234,(46 644),"3,41"
116,(116),Östhammar,22 364,(22 251),"0,51"
160,(160),Östra Göinge,14 941,(15 017),"-0,51"
284,(284),Överkalix,3 252,(3 289),"-1,12"
279,(279),Övertorneå,4 211,(4 217),"-0,14"
